"id","codbarras","nome","preco_venda"
2,"24",BATATA GRANEL BRANCA KG,"2,99"
3,"31",PERA DAGUA KG,"4,99"
4,"48",SALAME PERDIGAO ITALIANO CACULA,"45,9"
5,"55",CAQUI CAFE KG,"7,95"
6,"62",REVISTAS DIVERSAS,"1"
7,"79",COXINHA ASA AVERAMA KG,"0"
8,"86",TORTA MINATTO BOMBONELA KG,"35,9"
9,"93",QUEIJO BLOEMER COLONIAL KG,"36,9"
10,"109",MACA GALLA KG,"4,95"
13,"130",PAO MINATTO MASSINHA KG,"17,9"
14,"147",BOLO MINATTO MILHO VERDE KG,"14,9"
15,"154",CAVACO MINATTO TEMPERADO KG,"19,9"
16,"161",ROCAMBOLE MINATTO DA VOVO KG,"19,9"
17,"178",RADICHE UNIDADE,"2,99"
18,"185",ROSCA MINATTO DIET KG,"19,9"
19,"192",SALAME COLONIAL GAVA 9 KG,"37,9"
20,"208",BATATA GRANEL ROSA KG,"3,99"
21,"215",BATATA YACON KG,"6,99"
24,"246",CHICORIA UNIDADE,"2,99"
25,"253",TORTA MINATTO RICOTA C/GOIABADA KG,"25,9"
27,"277",PAO MINATTO FRANCES FOLHADO KG,"9,9"
28,"284",PAO DE QUEIJO MINATTO KG,"27,9"
30,"307",VASO FLOR 15 UNIDADE,"18,9"
31,"314",TORTA MINATTO AMEIXA KG,"35,9"
32,"321",ROSCA MINATTO POLVILHO DOCE KG,"10,9"
33,"338",BISC.MINATTO LEITE KG,"17,9"
35,"352",FRANGO AVE APRECIALLE KG,"10,95"
37,"376","DVD SOM LIVRE 12,99","12,99"
40,"406",CHIPA MINATTO KG,"45,9"
41,"413",TORTA MINATTO MORANGO ESPECIAL KG,"36,9"
42,"420",TORTA MINATTO QUATRO LEITES KG,"32,9"
45,"451",PAO MINATTO SUPER FOFO KG,"10,9"
46,"468",PAO MINATTO PAO CUCA BANANA CANELA,"6,5"
47,"475",C.BOV.BANANINHA RESFR.,"29,9"
48,"482",TORTA MINATTO FRUTAS KG,"26,9"
49,"499",AMEIXA ROXA KG,"15,95"
